zipn,p,sp,carcost,carpark,carfeetotal,transitcost,rdcost,cartime,transittime,rdtime,walktime,biketime,purpose,car_av,transit_av,rd_av,walk_av,bike_av,choice,who,purpose_1,purpose_2,purpose_3,purpose_4,purpose_5,purpose_6,age,race,edu,work,zipcode,hhsize,child,hhincome,idincome,veh,bike,higheredu,employ,white,stu_dummy,mean_hhincome,veh_dummy,gender_F,gender_M,gender_O,originpurp,originpurpose_errand,originpurpose_home,originpurpose_school,originpurpose_shopping,originpurpose_social,originpurpose_work,meanincomehh,meanincomeindiv,carfeetotal_adj,transitcost_adj,rdcost_adj,popdensity,carfeetotal_adjindiv,transitcost_adjindiv,rdcost_adjindiv
1002,1188,2,0.34,8,8.34,1.5,7.26,6,8,6,51,18,6,1,1,1,1,1,2,1100,0,0,0,0,0,1,24,1,5,1,1002,4,0,8,6,6,1,1,1,1,0,72500,1,0,1,0,6,0,0,0,0,1,0,72.5,42.5,0.115034483,0.020689655,0.100137931,527.751031,0.196235294,0.035294118,0.170823529
1002,1188,3,0.34,12,12.34,2.5,7.26,7,10,6,51,15,6,1,1,1,1,1,2,1100,0,0,0,0,0,1,24,1,5,1,1002,4,0,8,6,6,1,1,1,1,0,72500,1,0,1,0,6,0,0,0,0,1,0,72.5,42.5,0.170206897,0.034482759,0.100137931,527.751031,0.290352941,0.058823529,0.170823529
1002,1188,1,0.4,4,4.4,3.5,6.32,7,9,6,44,18,6,1,1,1,1,1,2,1100,0,0,0,0,0,1,24,1,5,1,1002,4,0,8,6,6,1,1,1,1,0,72500,1,0,1,0,6,0,0,0,0,1,0,72.5,42.5,0.060689655,0.048275862,0.087172414,527.751031,0.103529412,0.082352941,0.148705882
1040,1348,3,1.69,8,9.69,3.5,22.24,26,44,26,288,75,4,1,1,1,1,1,1,1014,0,0,0,1,0,0,26,4,5,1,1040,2,0,6,6,2,1,1,1,0,0,42500,1,1,0,0,1,0,0,0,0,0,1,42.5,42.5,0.228,0.082352941,0.523294118,1873.972088,0.228,0.082352941,0.523294118
1040,1348,2,1.69,8,9.69,3.5,18.9,26,51,30,250,64,4,1,1,1,1,1,1,1014,0,0,0,1,0,0,26,4,5,1,1040,2,0,6,6,2,1,1,1,0,0,42500,1,1,0,0,1,0,0,0,0,0,1,42.5,42.5,0.228,0.082352941,0.444705882,1873.972088,0.228,0.082352941,0.444705882
1040,1348,1,1.47,4,5.47,3.5,18.9,26,51,26,250,75,4,1,1,1,1,1,1,1014,0,0,0,1,0,0,26,4,5,1,1040,2,0,6,6,2,1,1,1,0,0,42500,1,1,0,0,1,0,0,0,0,0,1,42.5,42.5,0.128705882,0.082352941,0.444705882,1873.972088,0.128705882,0.082352941,0.444705882
1331,1385,1,0.13,4,4.13,1.5,3.81,3,4,2,20,6,5,1,1,1,1,1,5,999,0,0,0,0,1,0,23,1,5,1,1331,3,0,1,1,3,1,1,1,1,1,5000,1,0,1,0,5,0,0,1,0,0,0,5,5,0.826,0.3,0.762,249.1920938,0.826,0.3,0.762
1331,1385,2,0.18,0,0.18,2.5,3.24,3,3,3,17,5,5,1,1,1,1,1,5,999,0,0,0,0,1,0,23,1,5,1,1331,3,0,1,1,3,1,1,1,1,1,5000,1,0,1,0,5,0,0,1,0,0,0,5,5,0.036,0.5,0.648,249.1920938,0.036,0.5,0.648
1331,1385,3,0.18,12,12.18,3.5,3.24,2,4,2,20,6,5,1,1,1,1,1,5,999,0,0,0,0,1,0,23,1,5,1,1331,3,0,1,1,3,1,1,1,1,1,5000,1,0,1,0,5,0,0,1,0,0,0,5,5,2.436,0.7,0.648,249.1920938,2.436,0.7,0.648
1469,1162,2,3.02,0,3.02,1.5,20.69,24,41,28,231,80,4,1,1,1,1,1,5,1111,0,0,0,1,0,0,31,1,5,1,1469,2,0,7,7,2,1,1,1,1,1,62500,1,1,0,0,3,0,0,0,1,0,0,62.5,62.5,0.04832,0.024,0.33104,297.2335125,0.04832,0.024,0.33104
