,zipn,p_x,dperson_x,sp,sccost,dlcost,dbcost,stcost,sctime,dltime,dbtime,sttime,stransittime,sttotime,SCAV,AVtech,STAV,DLAW,DBAW,DBDW,PRCP,BKLN,TEMP,purpose,SCAW,STAW,scooter_av,dlbike_av,dkbike_av,sctransit_av,triptime,car_av,transit_av,rd_av,walk_av,bike_av,choice,cartime,transittime,rdtime,walktime,biketime,PRCP_1,PRCP_2,PRCP_3,BKLN_1,BKLN_2,BKLN_3,BKLN_4,purpose_1,purpose_2,purpose_3,purpose_4,purpose_5,purpose_6,who,age,race,edu,work,zipcode,hhsize,child,hhincome,idincome,veh,bike,higheredu,employ,white,stu_dummy,mean_hhincome,veh_dummy,gender_F,gender_M,gender_O,mean_idincome,originpurpose_errand,originpurpose_home,originpurpose_school,originpurpose_shopping,originpurpose_social,originpurpose_work,trippurp_HBO,trippurp_HBSHOP,trippurp_HBSOC,trippurp_HBW,trippurp_NHB,meanincomek,sccost_adj,dlcost_adj,dbcost_adj,stcost_adj,sttocost_adj,popdensity,BKLNn,unique_id,Unnamed: 0_x,user,p_y,dperson_y,Unnamed: 0_y,socialnorm1,socialnorm2,socialnorm3,socialnorm4,socialnorm5,socialnorm6,expectedperf1,expectedperf2,expectedperf3,expectedperf4,expectedperf5,envbenefit1,envbenefit2,envbenefit3,envbenefit4,perceivedrisk1,perceivedrisk2,perceivedrisk3,resideffects1,resideffects2,resideffects3,resideffects4,envvalues1,envvalues2,envvalues3,envvalues4,antimicro1,antimicro2,antimicro3,intentiontouse1,intentiontouse2,intentiontouse3
0,76226,688,221,4,0.0,0.0,0.0,0.0,14,0,0,9,5,14,1,0,3,0,0,0,2,3,60,4,1,3,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,21,1,3,2,76226,4,0,6,3,4,0,0,1,1,1,42500,1,0,1,0,17500,0,1,0,0,0,0,1,0,0,0,0,17.5,0.0,0.0,0.0,0.0,0.114285714285714,386.3045302,0.5,688_221,394,2u9w5H1FiaoyNJWayEf3,688,221,76,4,5,5,4,5,3.0,5,5,6,5,5,5,6,5,5.0,2,3,2,1,5,0,6,4,4,4,6,5,4,5,5,4.0,4
1,76226,688,221,6,5.44,0.0,0.0,2.0,18,0,0,3,9,12,0,0,0,0,0,0,3,4,80,4,0,0,1,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,21,1,3,2,76226,4,0,6,3,4,0,0,1,1,1,42500,1,0,1,0,17500,0,1,0,0,0,0,1,0,0,0,0,17.5,0.310857142857143,0.0,0.0,0.114285714285714,0.228571428571429,386.3045302,0.0,688_221,394,2u9w5H1FiaoyNJWayEf3,688,221,76,4,5,5,4,5,3.0,5,5,6,5,5,5,6,5,5.0,2,3,2,1,5,0,6,4,4,4,6,5,4,5,5,4.0,4
2,76226,688,221,5,7.22,0.0,0.0,1.0,21,0,0,3,9,12,0,0,5,0,0,0,1,1,40,4,0,5,1,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,21,1,3,2,76226,4,0,6,3,4,0,0,1,1,1,42500,1,0,1,0,17500,0,1,0,0,0,0,1,0,0,0,0,17.5,0.412571428571429,0.0,0.0,0.0571428571428571,0.171428571428571,386.3045302,1.0,688_221,394,2u9w5H1FiaoyNJWayEf3,688,221,76,4,5,5,4,5,3.0,5,5,6,5,5,5,6,5,5.0,2,3,2,1,5,0,6,4,4,4,6,5,4,5,5,4.0,4
3,67042,582,76,6,3.81,4.93,0.0,0.0,11,13,11,0,0,0,1,1,0,3,0,1,1,4,40,6,0,0,1,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,70,1,5,2,67042,4,0,7,7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.06096,0.07888,0.0,0.0,0.032,70.12648447,0.0,582_76,4009,IMkFveCe2Q4ceC7giEZ5,582,76,803,5,4,5,4,2,3.0,3,5,6,5,6,4,5,6,2.0,5,5,1,1,4,0,5,4,5,4,6,6,6,6,4,6.0,5
4,67042,582,76,6,3.81,4.93,0.0,0.0,11,13,11,0,0,0,1,1,0,3,0,1,1,4,40,6,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,70,1,5,2,67042,4,0,7,7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.06096,0.07888,0.0,0.0,0.032,70.12648447,0.0,582_76,4009,IMkFveCe2Q4ceC7giEZ5,582,76,803,5,4,5,4,2,3.0,3,5,6,5,6,4,5,6,2.0,5,5,1,1,4,0,5,4,5,4,6,6,6,6,4,6.0,5
5,67042,582,76,5,4.93,0.0,3.81,0.0,9,11,11,0,0,0,3,1,0,3,3,1,3,4,80,6,0,0,1,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,70,1,5,2,67042,4,0,7,7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.07888,0.0,0.06096,0.0,0.032,70.12648447,0.0,582_76,4009,IMkFveCe2Q4ceC7giEZ5,582,76,803,5,4,5,4,2,3.0,3,5,6,5,6,4,5,6,2.0,5,5,1,1,4,0,5,4,5,4,6,6,6,6,4,6.0,5
6,67042,582,76,4,2.68,2.68,4.93,0.0,11,9,9,0,0,0,3,1,0,3,5,0,1,3,40,6,0,0,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,70,1,5,2,67042,4,0,7,7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.04288,0.04288,0.07888,0.0,0.032,70.12648447,0.5,582_76,4009,IMkFveCe2Q4ceC7giEZ5,582,76,803,5,4,5,4,2,3.0,3,5,6,5,6,4,5,6,2.0,5,5,1,1,4,0,5,4,5,4,6,6,6,6,4,6.0,5
7,67042,582,76,4,2.68,2.68,4.93,0.0,11,9,9,0,0,0,3,1,0,3,5,0,1,3,40,6,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,70,1,5,2,67042,4,0,7,7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.04288,0.04288,0.07888,0.0,0.032,70.12648447,0.5,582_76,4009,IMkFveCe2Q4ceC7giEZ5,582,76,803,5,4,5,4,2,3.0,3,5,6,5,6,4,5,6,2.0,5,5,1,1,4,0,5,4,5,4,6,6,6,6,4,6.0,5
8,67042,582,76,5,4.93,0.0,3.81,0.0,9,11,11,0,0,0,3,1,0,3,3,1,3,4,80,6,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,70,1,5,2,67042,4,0,7,7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.07888,0.0,0.06096,0.0,0.032,70.12648447,0.0,582_76,4009,IMkFveCe2Q4ceC7giEZ5,582,76,803,5,4,5,4,2,3.0,3,5,6,5,6,4,5,6,2.0,5,5,1,1,4,0,5,4,5,4,6,6,6,6,4,6.0,5
9,47203,543,194,4,0.0,0.0,0.0,2.0,13,0,0,6,6,12,1,1,0,0,0,0,2,2,95,3,1,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,25,1,5,1,47203,3,1,7,7,2,1,1,1,1,0,62500,1,0,1,0,62500,0,0,0,0,0,1,0,0,0,0,1,62.5,0.0,0.0,0.0,0.032,0.064,333.1009913,0.8,543_194,8368,YaEutOzPgldlhMU6uPZ2,543,194,1682,5,6,3,6,1,5.0,4,6,5,4,4,5,5,6,4.0,6,5,2,1,5,1,5,4,6,4,2,3,3,2,4,5.0,4
