"zipn","p","dperson","sp","sccost","dlcost","dbcost","stcost","sctime","dltime","dbtime","sttime","stransittime","sttotime","SCAV","AVtech","STAV","DLAW","DBAW","DBDW","PRCP","BKLN","TEMP","purpose","SCAW","STAW","scooter_av","dlbike_av","dkbike_av","sctransit_av","triptime","car_av","transit_av","rd_av","walk_av","bike_av","choice","cartime","transittime","rdtime","walktime","biketime","PRCP_1","PRCP_2","PRCP_3","BKLN_1","BKLN_2","BKLN_3","BKLN_4","purpose_1","purpose_2","purpose_3","purpose_4","purpose_5","purpose_6","who","age","race","edu","work","zipcode","hhsize","child","hhincome","idincome","veh","bike","higheredu","employ","white","stu_dummy","mean_hhincome","veh_dummy","gender_F","gender_M","gender_O","mean_idincome","originpurpose_errand","originpurpose_home","originpurpose_school","originpurpose_shopping","originpurpose_social","originpurpose_work","trippurp_HBO","trippurp_HBSHOP","trippurp_HBSOC","trippurp_HBW","trippurp_NHB","meanincomek","sccost_adj","dlcost_adj","dbcost_adj","stcost_adj","sttocost_adj","popdensity","BKLNn"
76226," 688"," 221","4"," 0.00","0.00","0.00","0.0","14"," 0"," 0"," 9","  5"," 14","1","0","3","0","0","0","2","3","60","4","1","3","1","0","0","0","10","1","0","0","0","0"," 7","10","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0",1,21,1,3,2,"76226",4,0,"6",3,4,0,0,1,1,1,42500,1,0,1,0,17500,0,1,0,0,0,0,1,0,0,0,0,17.5,0,0,0,0,0.114285714285714,386.3045302,0.5
76226," 688"," 221","4"," 0.00","0.00","0.00","0.0","14"," 0"," 0"," 9","  5"," 14","1","0","3","0","0","0","2","3","60","4","1","3","1","0","0","1","0","0","0","0","0","0"," 7","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0",1,21,1,3,2,"76226",4,0,"6",3,4,0,0,1,1,1,42500,1,0,1,0,17500,0,1,0,0,0,0,1,0,0,0,0,17.5,0,0,0,0,0.114285714285714,386.3045302,0.5
76226," 688"," 221","5"," 7.22","0.00","0.00","1.0","21"," 0"," 0"," 3","  9"," 12","0","0","5","0","0","0","1","1","40","4","0","5","0","0","0","1","10","1","0","0","0","0"," 1","10","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",1,21,1,3,2,"76226",4,0,"6",3,4,0,0,1,1,1,42500,1,0,1,0,17500,0,1,0,0,0,0,1,0,0,0,0,17.5,0.412571428571429,0,0,0.0571428571428571,0.171428571428571,386.3045302,1
76226," 688"," 221","6"," 5.44","0.00","0.00","2.0","18"," 0"," 0"," 3","  9"," 12","0","0","0","0","0","0","3","4","80","4","0","0","1","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0",1,21,1,3,2,"76226",4,0,"6",3,4,0,0,1,1,1,42500,1,0,1,0,17500,0,1,0,0,0,0,1,0,0,0,0,17.5,0.310857142857143,0,0,0.114285714285714,0.228571428571429,386.3045302,0
76226," 688"," 221","5"," 7.22","0.00","0.00","1.0","21"," 0"," 0"," 3","  9"," 12","0","0","5","0","0","0","1","1","40","4","0","5","1","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0",1,21,1,3,2,"76226",4,0,"6",3,4,0,0,1,1,1,42500,1,0,1,0,17500,0,1,0,0,0,0,1,0,0,0,0,17.5,0.412571428571429,0,0,0.0571428571428571,0.171428571428571,386.3045302,1
76226," 688"," 221","6"," 5.44","0.00","0.00","2.0","18"," 0"," 0"," 3","  9"," 12","0","0","0","0","0","0","3","4","80","4","0","0","0","0","0","1","10","1","0","0","0","0"," 1","10","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0",1,21,1,3,2,"76226",4,0,"6",3,4,0,0,1,1,1,42500,1,0,1,0,17500,0,1,0,0,0,0,1,0,0,0,0,17.5,0.310857142857143,0,0,0.114285714285714,0.228571428571429,386.3045302,0
33430," 681"," 372","6"," 0.00","0.00","0.00","2.8"," 0"," 0"," 0","12","157","169","0","1","5","0","0","0","3","1","80","3","0","0","0","0","0","1","92","1","0","0","0","0","10","92","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0",2,57,1,6,1,"33430",3,1,"9",7,3,1,1,1,1,0,125000,1,1,0,0,62500,0,0,0,0,1,0,0,0,0,0,1,62.5,0,0,0,0.0448,0.0768,188.3808234,1
33430," 681"," 372","5"," 0.00","0.00","0.00","3.1"," 0"," 0"," 0"," 6","160","166","0","1","1","0","0","0","3","2","40","3","0","0","0","0","0","1","92","1","0","0","0","0","10","92","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0",2,57,1,6,1,"33430",3,1,"9",7,3,1,1,1,1,0,125000,1,1,0,0,62500,0,0,0,0,1,0,0,0,0,0,1,62.5,0,0,0,0.0496,0.0816,188.3808234,0.8
33430," 681"," 372","4"," 0.00","0.00","0.00","5.2"," 0"," 0"," 0","12","157","169","0","1","0","0","0","0","3","1","60","3","0","0","0","0","0","1","92","1","0","0","0","0"," 1","92","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0",2,57,1,6,1,"33430",3,1,"9",7,3,1,1,1,1,0,125000,1,1,0,0,62500,0,0,0,0,1,0,0,0,0,0,1,62.5,0,0,0,0.0832,0.1152,188.3808234,1
67042," 582","  76","4"," 2.68","2.68","4.93","0.0","11"," 9"," 9"," 0","  0","  0","3","1","0","3","5","0","1","3","40","6","0","0","1","0","0","0","20","0","0","0","0","1"," 5","0","0","0","0","20","1","0","0","0","0","1","0","0","0","0","0","0","1",3,70,1,5,2,"67042",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.04288,0.04288,0.07888,0,0.032,70.12648447,0.5
67042," 582","  76","6"," 3.81","4.93","0.00","0.0","11","13","11"," 0","  0","  0","1","1","0","3","0","1","1","4","40","6","0","0","1","1","1","0","0","0","0","0","0","0"," 8","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1",3,70,1,5,2,"67042",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.06096,0.07888,0,0,0.032,70.12648447,0
67042," 582","  76","6"," 3.81","4.93","0.00","0.0","11","13","11"," 0","  0","  0","1","1","0","3","0","1","1","4","40","6","0","0","1","0","1","0","0","0","0","0","0","0"," 7","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1",3,70,1,5,2,"67042",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.06096,0.07888,0,0,0.032,70.12648447,0
67042," 582","  76","5"," 4.93","0.00","3.81","0.0"," 9","11","11"," 0","  0","  0","3","1","0","3","3","1","3","4","80","6","0","0","1","1","1","0","0","0","0","0","0","0"," 8","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1",3,70,1,5,2,"67042",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.07888,0,0.06096,0,0.032,70.12648447,0
67042," 582","  76","5"," 4.93","0.00","3.81","0.0"," 9","11","11"," 0","  0","  0","3","1","0","3","3","1","3","4","80","6","0","0","0","1","0","0","20","0","0","0","0","1"," 8","0","0","0","0","20","0","0","1","0","0","0","1","0","0","0","0","0","1",3,70,1,5,2,"67042",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.07888,0,0.06096,0,0.032,70.12648447,0
67042," 582","  76","4"," 2.68","2.68","4.93","0.0","11"," 9"," 9"," 0","  0","  0","3","1","0","3","5","0","1","3","40","6","0","0","1","1","1","0","0","0","0","0","0","0"," 7","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1",3,70,1,5,2,"67042",4,0,"7",7,2,1,1,1,1,1,62500,1,0,1,0,62500,0,1,0,0,0,0,0,0,1,0,0,62.5,0.04288,0.04288,0.07888,0,0.032,70.12648447,0.5
